TITLE,SCHEME NAME,NAV,NIFTY,DATE,NEXT_UPDATE_DATE
Kotak Guaranteed Growth 01-Apr-2024,Kotak Guaranteed Growth,79.5594,0.00,1-Apr-2024,2-Apr-2024
Kotak Advantage Multiplier Fund II 01-Apr-2024,Kotak Advantage Multiplier Fund II,20.2862,0.00,1-Apr-2024,2-Apr-2024
Kotak Guaranteed Balanced 01-Apr-2024,Kotak Guaranteed Balanced,70.9893,0.00,1-Apr-2024,2-Apr-2024
Kotak Aggressive Growth 01-Apr-2024,Kotak Aggressive Growth,167.3451,0.00,1-Apr-2024,2-Apr-2024
Kotak Opportunities Fund 01-Apr-2024,Kotak Opportunities Fund,103.1394,0.00,1-Apr-2024,2-Apr-2024
Kotak Dynamic Growth 01-Apr-2024,Kotak Dynamic Growth,158.2893,0.00,1-Apr-2024,2-Apr-2024
Kotak Dynamic Floor Fund 01-Apr-2024,Kotak Dynamic Floor Fund,36.8891,0.00,1-Apr-2024,2-Apr-2024
Kotak Dynamic Balanced 01-Apr-2024,Kotak Dynamic Balanced,109.5929,0.00,1-Apr-2024,2-Apr-2024
Kotak Dynamic Bond 01-Apr-2024,Kotak Dynamic Bond,46.4134,0.00,1-Apr-2024,2-Apr-2024
Kotak Dynamic Floating Rate 01-Apr-2024,Kotak Dynamic Floating Rate,35.1889,0.00,1-Apr-2024,2-Apr-2024
Kotak Dynamic Gilt 01-Apr-2024,Kotak Dynamic Gilt,42.9706,0.00,1-Apr-2024,2-Apr-2024
Kotak Pension Balanced 01-Apr-2024,Kotak Pension Balanced,70.4621,0.00,1-Apr-2024,2-Apr-2024
Kotak Pension Bond 01-Apr-2024,Kotak Pension Bond,46.2623,0.00,1-Apr-2024,2-Apr-2024
Kotak Pension Floating Rate 01-Apr-2024,Kotak Pension Floating Rate,35.1038,0.00,1-Apr-2024,2-Apr-2024
Kotak Pension Gilt 01-Apr-2024,Kotak Pension Gilt,43.3615,0.00,1-Apr-2024,2-Apr-2024
Kotak Pension Growth 01-Apr-2024,Kotak Pension Growth,31.7980,0.00,1-Apr-2024,2-Apr-2024
Kotak Pension Floor Fund 01-Apr-2024,Kotak Pension Floor Fund,23.0312,0.00,1-Apr-2024,2-Apr-2024
Kotak Pension Opportunities Fund 01-Apr-2024,Kotak Pension Opportunities Fund,52.2539,0.00,1-Apr-2024,2-Apr-2024
Kotak Group Balanced 01-Apr-2024,Kotak Group Balanced,130.5877,0.00,1-Apr-2024,2-Apr-2024
Kotak Group Bond 01-Apr-2024,Kotak Group Bond,51.2022,0.00,1-Apr-2024,2-Apr-2024
Kotak Group Short Term Bond Fund 01-Apr-2024,Kotak Group Short Term Bond Fund,16.6389,0.00,1-Apr-2024,2-Apr-2024
Kotak Group Floating Rate 01-Apr-2024,Kotak Group Floating Rate,38.2813,0.00,1-Apr-2024,2-Apr-2024
Kotak Group Gilt 01-Apr-2024,Kotak Group Gilt,45.3948,0.00,1-Apr-2024,2-Apr-2024
Kotak Group Dynamic Floor Fund 01-Apr-2024,Kotak Group Dynamic Floor Fund,36.7701,0.00,1-Apr-2024,2-Apr-2024
